284112,13
284112,15
467819,11
467819,12
13691,13
13691,15
157762,11
157762,12
433759,1
433759,2
145848,7
145848,8
419407,11
419407,12
401693,7
401693,8
72634,7
72634,8
350664,13
350664,15
263603,13
263603,15
367418,11
367418,12
477482,1
477482,2
19394,16
19394,18
428659,13
428659,15
465110,11
465110,12
104058,11
104058,12
16807,13
16807,15
83742,7
83742,8
287034,11
287034,12
246242,11
246242,12
211394,1
211394,2
295413,13
295413,15
229798,1
229798,2
502062,7
502062,8
442499,11
442499,12
271474,13
271474,15
315755,13
315755,15
349887,11
349887,12
377918,16
377918,18
188986,13
188986,15
373101,11
373101,12
549475,7
549475,8
298073,13
298073,15
282422,13
282422,15
319298,11
319298,12
60441,16
60441,18
500916,16
500916,18
500851,7
500851,8
488926,11
488926,12
240754,16
240754,18
75918,16
75918,18
299724,13
299724,15
555048,1
555048,2
535099,7
535099,8
411569,7
411569,8
546444,13
546444,15
152036,16
152036,18
418370,1
418370,2
502770,7
502770,8
411696,16
411696,18
214291,11
214291,12
89197,13
89197,15
206058,11
206058,12
205007,11
205007,12
192124,1
192124,2
315664,16
315664,18
423494,16
423494,18
79417,7
79417,8
512920,7
512920,8
430941,7
430941,8
154563,7
154563,8
349777,1
349777,2
268491,7
268491,8
433159,7
433159,8
174871,1
174871,2
479066,16
479066,18
477126,13
477126,15
429498,11
429498,12
506521,16
506521,18
22553,11
22553,12
314237,11
314237,12
252817,1
252817,2
84597,1
84597,2
320401,16
320401,18
41488,16
41488,18
552493,13
552493,15
545146,16
545146,18
506681,7
506681,8
512048,13
512048,15
480182,11
480182,12
374229,7
374229,8
123197,13
123197,15
10094,11
10094,12
133079,11
133079,12
236807,11
236807,12
391970,7
391970,8
328310,13
328310,15
40146,1
40146,2
160218,7
160218,8
409993,11
409993,12
117253,7
117253,8
368521,16
368521,18
549609,11
549609,12
88801,7
88801,8
193937,16
193937,18
368708,7
368708,8
191977,11
191977,12
494540,1
494540,2
143832,16
143832,18
487869,7
487869,8
378713,16
378713,18
370032,11
370032,12
249018,13
249018,15
399151,7
399151,8
47166,16
47166,18
216591,16
216591,18
305723,13
305723,15
226704,1
226704,2
547585,16
547585,18
207076,11
207076,12
168469,11
168469,12
104492,13
104492,15
496617,16
496617,18
224337,16
224337,18
188741,16
188741,18
319255,16
319255,18
485054,16
485054,18
499094,16
499094,18
31841,16
31841,18
405974,7
405974,8
473561,13
473561,15
372648,13
372648,15
411651,11
411651,12
60637,16
60637,18
27445,1
27445,2
517210,13
517210,15
410164,11
410164,12
234412,16
234412,18
493033,13
493033,15
346210,13
346210,15
487395,11
487395,12
248677,1
248677,2
299892,16
299892,18
175180,11
175180,12
224390,13
224390,15
516068,1
516068,2
183340,7
183340,8
330483,1
330483,2
461727,1
461727,2
318023,11
318023,12
540526,13
540526,15
76714,11
